Video.transect,Block,Gravel,Rock,Sand,Black_coral,Hard_corals,Soft_corals
BAS_11Jun21_7de7,0,0.166666666666667,0,0,0.0333333333333333,0,21
BAS2_21Abr22_6de10,0,0.1,0,0,0.666666666666667,0,13
BAS2_21Abr22_9de10,0,0,0.0666666666666667,0,0,0,0
BAS_25Jun21_4de5,0,0,0.233333333333333,0,0,0.833333333333333,0
BAS_25Jun21_5de5,0,0,0.633333333333333,0,0,0.966666666666667,0
BAS2_21Abr22_10de10,0,0,0.466666666666667,0,0,1.03333333333333,1
BAS2_21Abr22_1de10,0,0,0.266666666666667,0,0,0.566666666666667,1
BAS2_21Abr22_2de10,0,0,0.466666666666667,0,0,0.8,0
BAS2_21Abr22_3de10,0,0,0.266666666666667,0,0,0.933333333333333,0
BAS2_21Abr22_4de10,0,0,0.9,0,0,0.8,1
BAS2_21Abr22_5de10,0,0,0.233333333333333,0,0,0.9,0
BAS2_21Abr22_7de10,0,0,0.5,0,0,0.9,1
BAS_26Oct22_10de10,0.1,0,0,0,0,0.9,0
BAS_26Oct22_1de10,0.533333333333333,0,0,0,0,0,0
BAS_26Oct22_2de10,0.6,0,0,0,0,0,0
BAS_26Oct22_3de10,0.233333333333333,0,0,0,0,0,0
BAS_26Oct22_4de10,0.933333333333333,0,0,0,0,0,0
BAS_26Oct22_5de10,0.533333333333333,0,0,0,0,0,0
BAS_26Oct22_6de10,0.866666666666667,0,0,0,0,0,0
BAS_26Oct22_7de10,0.366666666666667,0,0,0,0,0,0
BAS_26Oct22_8de10,0.4,0,0,0,0,0,0
BAS_26Oct22_9de10,0,0,0.166666666666667,0,0,0,0
BAS_21Abr22_10de10,0,0,0.4,0,0,0,3
BAS_21Abr22_1de10,0,0,0.1,0,0.266666666666667,0,195
BAS_21Abr22_2de10,0,0,0.0333333333333333,0,0.1,0,156
BAS_21Abr22_3de10,0,0,0.0333333333333333,0,0.2,0,273
BAS_21Abr22_4de10,0,0,0.0666666666666667,0,0.2,0,284
BAS_21Abr22_5de10,0,0,0.0333333333333333,0,0.2,0,151
BAS_21Abr22_6de10,0,0,0.2,0,0.3,0,262
BAS_21Abr22_7de10,0,0,0.0333333333333333,0,0.1,0,111
BAS_21Abr22_8de10,0,0,0.0666666666666667,0,0,0,28
BAS_21Abr22_9de10,0,0,0.1,0,0.0666666666666667,0,41
BAS2_21Abr22_8de10,0,0,0.1,0,0.1,0,92
ISE_10Jun21_1de9,0.3,0,0,0,0.1,0.0666666666666667,6
ISE_10Jun21_2de9,0.133333333333333,0,0,0,0,0,9
ISE_10Jun21_3de9,0.233333333333333,0,0,0,0,0,0
ISE_10Jun21_4de9,0.2,0,0,0,0,0,19
ISE_25Jun21_12de14,0.0333333333333333,0,0,0,0,0,0
ISE_25Jun21_13de14,0.0333333333333333,0,0,0,0,0,0
ISE_25Jun21_14de14,0.0333333333333333,0,0,0,0,0,15
ISE_25Jun21_1de14,0.0333333333333333,0,0,0,0,0,0
ISE_25Jun21_2de14,0.0333333333333333,0,0,0,0,0,0
ISE_25Jun21_3de14,0.0666666666666667,0,0,0,0,0,0
ISE_25Jun21_4de14,0.166666666666667,0,0,0,0,0,0
ISE_25Jun21_5de14,0.133333333333333,0,0,0,0,0.133333333333333,0
ISE_25Jun21_6de14,0.333333333333333,0,0,0,0,0.4,2
ISE_25Jun21_10de14,0.333333333333333,0,0,0,0,0.466666666666667,5
ISE_10Jun21_5de9,0,0.866666666666667,0,0,0,0,4
ISE_25Jun21_7de14,0,0.0333333333333333,0,0,0,0,6
ISE_25Jun21_8de14,0,1,0,0,0,0,0
ISE_25Jun21_9de14,0,0.0333333333333333,0,0,0,0,0
ISE_10Jun21_6de9,0,0,0.0666666666666667,0,0,0,0
ISE_10Jun21_7de9,0,0,0.0666666666666667,0,0,0,0
ISE2_25Jun21_1de7,0,0,0.233333333333333,0,0,0,0
ISE2_25Jun21_2de7,0,0,0.166666666666667,0,0,0,0
ISE2_25Jun21_3de7,0,0,0.6,0,0,0.2,50
ISE2_25Jun21_4de7,0,0,0.133333333333333,0,0,0.266666666666667,101
ISE2_25Jun21_5de7,0,0,0.366666666666667,0,0,0.2,1
ISE2_25Jun21_6de7,0,0,0.233333333333333,0,0,0.3,8
ISE2_25Jun21_7de7,0,0,0.366666666666667,0,0,0.533333333333333,3
ISE_25Jun21_11de14,0,0,0.0666666666666667,0,0,0.566666666666667,15
ISE_10Jun21_8de9,0,0,0,0.5,0,0.533333333333333,0
ISE_10Jun21_9de9,0,0,0,0.866666666666667,0,0,121
ISE_14Jun21_1de1,0,0,0,0.866666666666667,0.0333333333333333,0.0666666666666667,101
ISE_24Oct22_10de10,0.333333333333333,0,0,0,0,0.6,0
ISE_24Oct22_1de10,0.0666666666666667,0,0,0,0,0.666666666666667,0
ISE_24Oct22_2de10,0.433333333333333,0,0,0,0,0.8,0
ISE_24Oct22_3de10,0.133333333333333,0,0,0,0,0.4,3
ISE_24Oct22_4de10,0.466666666666667,0,0,0,0,0.633333333333333,9
ISE_24Oct22_5de10,0.0333333333333333,0,0,0,0,0,0
ISE_24Oct22_6de10,0.0333333333333333,0,0,0,0,0,14
ISE_24Oct22_7de10,0.0333333333333333,0,0,0,0,0,0
ISE_24Oct22_8de10,0.266666666666667,0,0,0,0,0,0
ISE_24Oct22_9de10,0,0.266666666666667,0,0,0,0,0
ISE_19Abr22_10de11,0,0.566666666666667,0,0,0,0,0
ISE_19Abr22_11de11,0,0.0333333333333333,0,0,0,0,0
ISE_19Abr22_1de11,0,0,0.233333333333333,0,0,0,0
ISE_19Abr22_2de11,0,0,0.3,0,0,0,0
ISE_19Abr22_3de11,0.0666666666666667,0,0.133333333333333,0,0,0,90
ISE_19Abr22_4de11,0,0,0.3,0,0,0,160
ISE_19Abr22_5de11,0,0,0.366666666666667,0,0,0.0333333333333333,79
ISE_19Abr22_6de11,0,0,1,0,0,0,132
ISE_19Abr22_7de11,0,0,0.133333333333333,0,0.133333333333333,0.0666666666666667,10
ISE_19Abr22_8de11,0,0,0.433333333333333,0,0,0.566666666666667,94
ISE_19Abr22_9de11,0,0,0.366666666666667,0,0,0.633333333333333,267
ISE2_19Abr22_1de5,0,0,0.633333333333333,0,0,0.3,104
ISE2_19Abr22_2de5,0,0,0.766666666666667,0,0,0.466666666666667,92
ISE2_19Abr22_3de5,0,0,0.466666666666667,0,0.1,0.5,173
ISE2_19Abr22_4de5,0,0,0.666666666666667,0,0,0,23
ISE2_19Abr22_5de5,0,0,0.566666666666667,0,0,0.733333333333333,0
PLO_14Jun21_1de4,0.233333333333333,0,0,0,0,0.166666666666667,19
PLO_14Jun21_2de4,0.4,0,0,0,0,0.133333333333333,69
PLO2_19Oct21_1de9,0.3,0,0,0,0,0.0333333333333333,9
PLO2_19Oct21_2de9,0.0333333333333333,0,0,0,0,0.1,11
PLO2_19Oct21_3de9,0.2,0,0,0,0,0.133333333333333,0
PLO_19Oct21_1de9,0.0666666666666667,0,0,0,0,0.233333333333333,0
PLO_19Oct21_2de9,0.133333333333333,0,0,0,0,0.133333333333333,1
PLO_19Oct21_3de9,0.166666666666667,0,0,0,0,0.0666666666666667,0
PLO_19Oct21_4de9,0.3,0,0,0,0,0.233333333333333,0
PLO_19Oct21_5de9,0.466666666666667,0,0,0,0,0.133333333333333,0
PLO_19Oct21_6de9,0.233333333333333,0,0,0,0,0.2,0
PLO_14Jun21_3de4,0,0.333333333333333,0,0,0,0.266666666666667,0
PLO_14Jun21_4de4,0,0.233333333333333,0,0,0,0.0666666666666667,0
PLO_25Jun21_1de5,0,0.4,0,0,0.7,0,11
PLO_25Jun21_2de5,0,0.0666666666666667,0,0,0.3,0,87
PLO_25Jun21_3de5,0,0.8,0,0,0.5,0,29
PLO2_19Oct21_4de9,0,0.0333333333333333,0,0,0.6,0,9
PLO_19Oct21_7de9,0,0.1,0,0,0.533333333333333,0,15
PLO_19Oct21_8de9,0,0.0333333333333333,0,0,0.233333333333333,0,4
PLO_19Oct21_9de9,0,0.0666666666666667,0,0,0.4,0,12
PLO_25Jun21_4de5,0,0,0.433333333333333,0,0.7,0,34
PLO_25Jun21_5de5,0,0,0.466666666666667,0,0.533333333333333,0,7
PLO2_14Jun21_1de6,0,0,0.0333333333333333,0,0.2,0,16
PLO2_14Jun21_2de6,0,0,0.0666666666666667,0,0,0,0
PLO2_14Jun21_3de6,0,0,0.566666666666667,0,0,0,47
PLO2_14Jun21_4de6,0,0,0.133333333333333,0,0,0,0
PLO2_14Jun21_5de6,0,0,0.133333333333333,0,0,0,0
PLO2_14Jun21_6de6,0,0,0.333333333333333,0,0,0,0
PLO2_25Oct22_1de9,0,0,0,0.466666666666667,0.0666666666666667,0,0
PLO2_25Oct22_2de9,0,0,0,0.766666666666667,0,0,0
PLO2_25Oct22_3de9,0,0,0,0.533333333333333,0,0,3
PLO2_25Oct22_4de9,0,0,0,0.6,0.0333333333333333,0,3
PLO2_25Oct22_5de9,0,0,0,0.1,0.0333333333333333,0,0
PLO2_25Oct22_6de9,0,0,0,0.766666666666667,0.366666666666667,0,0
PLO2_19Oct21_5de9,0,0,0,0.533333333333333,0,0,0
PLO2_19Oct21_6de9,0,0,0,0.433333333333333,0,0,32
PLO2_19Oct21_7de9,0,0,0,0.1,0,0,0
PLO2_19Oct21_8de9,0,0,0,0.3,0,0,0
PLO2_19Oct21_9de9,0,0,0,0.1,0,0,0
PLO2_20Abr22_10de10,0.0333333333333333,0,0,0,0,0,0
PLO_25Oct22_10de10,0.2,0,0,0,0.8,0,1
PLO2_20Abr22_1de10,0,0.0666666666666667,0,0,0.833333333333333,0.0333333333333333,0
PLO2_20Abr22_2de10,0,0.0333333333333333,0,0,0.466666666666667,0.166666666666667,0
PLO2_20Abr22_3de10,0,0.1,0,0,0,0,0
PLO2_20Abr22_4de10,0,0.133333333333333,0,0,0,0.2,0
PLO2_20Abr22_5de10,0,0.0666666666666667,0,0,0,0.0333333333333333,6
PLO2_20Abr22_6de10,0,0.0333333333333333,0,0,0,0.133333333333333,2
PLO2_20Abr22_7de10,0,0.166666666666667,0,0,0,0.1,10
PLO_25Oct22_1de10,0,0.0666666666666667,0,0,0,0.0333333333333333,0
PLO_25Oct22_2de10,0,0.0333333333333333,0,0,0,0.333333333333333,0
PLO2_20Abr22_8de10,0,0,0.0666666666666667,0,0,0.133333333333333,0
PLO2_20Abr22_9de10,0,0,0.0333333333333333,0,0,0.1,0
PLO_25Oct22_3de10,0,0,1.13333333333333,0,0,0.0666666666666667,0
PLO_25Oct22_4de10,0,0,0.266666666666667,0,0,0.0333333333333333,0
PLO_25Oct22_5de10,0,0,1.16666666666667,0,0,0.433333333333333,4
PLO_25Oct22_6de10,0,0,1.23333333333333,0,0,0.266666666666667,0
PLO_25Oct22_7de10,0,0,1.26666666666667,0,0,0.333333333333333,0
PLO_25Oct22_8de10,0,0,1.16666666666667,0,0,0.166666666666667,0
PLO_25Oct22_9de10,0,0,0.133333333333333,0,0,0,0
PLO2_25Oct22_7de9,0,0,0,0.0333333333333333,0,0,12
PLO2_25Oct22_8de9,0,0,0,0.433333333333333,0,0.166666666666667,0
PLO2_25Oct22_9de9,0,0,0,0.1,0,0,0
PLO_20Abr22_9de10,0,0,0,0.0333333333333333,0,0.1,1
PLO_20Abr22_10de10,0,0,0,0.166666666666667,0.333333333333333,0,29
PLO_20Abr22_1de10,0,0,0,0.1,0,0,5
PLO_20Abr22_2de10,0,0,0,0.0666666666666667,0.166666666666667,0,33
PLO_20Abr22_3de10,0,0,0,0.433333333333333,0,0,44
PLO_20Abr22_4de10,0,0,0,0.1,0.0666666666666667,0,13
PLO_20Abr22_5de10,0,0,0,0.333333333333333,0.133333333333333,0,131
PLO_20Abr22_6de10,0,0,0,0.3,0.0333333333333333,0,36
PLO_20Abr22_7de10,0,0,0,0.3,0,0,0
PLO_20Abr22_8de10,0,0,0,0.1,0.266666666666667,0,34
